COD,PRODUCTO,CATEGORIA,PRECIOS MAYORISTAS,PRECIOS MINORISTAS
1,Reel Jimmy Blue FD 1 Rol 5.2:1 C/ Línea,Reel,10500,15000
2,Reel Jimmy Green FD 1 Rol 5.2:1 C/ Línea,Reel,10500,15000
3,Reel Jimmy Grey FD 1 Rol 5.2:1 C/ Línea,Reel,10500,15000
4,Reel Arena 2000 FD 1 Rol 5.1:1,Reel,12700,26700
5,Reel Arena Blue 2000 FD 1 Rol 5.1:1,Reel,12700,26700
6,Reel Elite Gold 1000 FD 3 Rol 5.1:1,Reel,17900,28000
7,Reel Arena Red 2000 FD 1 Rol 5.1:1,Reel,12700,26700
8,Reel Arena 4000 RD 1 Rol 5.0:1,Reel,15000,30000
9,Reel Tuson 3000,Reel,22000,34000
10,"Caña Telescópica Joker 1,80m",Cañas,3600,5000
11,"Caña Telescópica Joker 2,40m",Cañas,4200,6000
12,"Caña Telescópica Joker 2,70m",Cañas,4800,6500
13,Caña Waterdog Alpha 4m,Cañas,18000,25000
14,Caña Waterdog Cochico 4m,Cañas,18500,27000
15,"Caña Waterdog ABSA 2,40m",Cañas,28000,37000
16,"Caña Waterdog Orense 2,70m",Cañas,22100,30000
17,"Caña Daiwa 1,80m",Cañas,19000,24000
18,"Caña Ottoni 2,40m",Cañas,13000,18000
19,"Caña Kawana 1,30m",Cañas,12000,16000
20,Caña Solara SB2102MH2010 12-25 Azul o Roja,Cañas,20000,26000
21,Caña Solara SB2402-MH2402 12-25 Azul o Roja,Cañas,23000,28000
22,"Caña Game Surf GSKW 4,20m 100-200 GM",Cañas,78000,130000
23,"Caña Cannon CNKW-3903 3,90m 100-200g",Cañas,83700,160000
24,"Caña Avenger AVG-S601MHM 1,83m 17-25lb Casting/Spinning",Cañas,40000,55000
25,"Caña Maremoto 4203 3 Tramos 4,20m",Cañas,70000,95000
26,"Caña Murray 3904 Telescópica 4,00m",Cañas,27000,50000
27,Multifilamento X4 14mm x 100m,Accesorios,3500,5000
28,Multifilamento X4 18mm x 100m,Accesorios,3500,5000
29,Multifilamento X4 20mm x 100m,Accesorios,3500,5000
30,Multifilamento X8 18mm,Accesorios,5000,8000
31,Caja con Artículos de Pesca,Accesorios,4000,6000
32,Gorra Camuflada,Accesorios,7000,9000
33,Cuellito Liso y Camuflado,Accesorios,4000,8000
34,Gorro Camuflado,Accesorios,5000,10000